,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode
305,2023-03-24T00:00:00,671.15,671.15,655.75,657.8,1563002,JSWSTEEL,11723
306,2023-03-27T00:00:00,661.1,666.5,655.85,658.85,1134491,JSWSTEEL,11723
307,2023-03-28T00:00:00,662.15,662.95,655.95,660.0,1190600,JSWSTEEL,11723
308,2023-03-29T00:00:00,663.3,685.45,658.6,678.9,2208428,JSWSTEEL,11723
309,2023-03-31T00:00:00,679.0,692.5,676.8,688.1,1447293,JSWSTEEL,11723
310,2023-04-03T00:00:00,690.4,691.65,676.15,682.2,1335604,JSWSTEEL,11723
311,2023-04-05T00:00:00,678.5,690.0,675.05,686.55,1188370,JSWSTEEL,11723
312,2023-04-06T00:00:00,688.0,688.0,680.25,682.7,726290,JSWSTEEL,11723
313,2023-04-10T00:00:00,684.05,693.25,682.8,688.5,600036,JSWSTEEL,11723
314,2023-04-11T00:00:00,693.75,715.0,688.5,713.6,4076632,JSWSTEEL,11723
315,2023-04-12T00:00:00,719.9,722.5,711.4,718.25,1810361,JSWSTEEL,11723
316,2023-04-13T00:00:00,717.0,722.0,714.25,720.65,835749,JSWSTEEL,11723
317,2023-04-17T00:00:00,714.0,723.65,714.0,721.2,1253589,JSWSTEEL,11723
318,2023-04-18T00:00:00,720.05,725.0,712.4,719.35,837349,JSWSTEEL,11723
319,2023-04-19T00:00:00,715.35,733.7,715.35,722.35,2268330,JSWSTEEL,11723
320,2023-04-20T00:00:00,726.0,727.0,712.7,715.8,1033900,JSWSTEEL,11723
321,2023-04-21T00:00:00,719.0,719.0,703.1,710.65,1416385,JSWSTEEL,11723
322,2023-04-24T00:00:00,708.55,723.9,705.15,720.35,729151,JSWSTEEL,11723
323,2023-04-25T00:00:00,720.35,730.6,717.8,725.0,1079227,JSWSTEEL,11723
324,2023-04-26T00:00:00,720.0,724.65,712.0,723.45,1277410,JSWSTEEL,11723
325,2023-04-27T00:00:00,723.0,734.75,717.6,732.1,1247848,JSWSTEEL,11723
326,2023-04-28T00:00:00,736.0,736.0,721.55,725.3,1593083,JSWSTEEL,11723
327,2023-05-02T00:00:00,731.95,746.5,728.5,737.9,1965606,JSWSTEEL,11723
328,2023-05-03T00:00:00,731.0,735.5,725.9,732.45,1215913,JSWSTEEL,11723
329,2023-05-04T00:00:00,733.95,742.0,730.25,738.7,1464468,JSWSTEEL,11723
330,2023-05-05T00:00:00,736.3,741.65,730.5,733.35,945667,JSWSTEEL,11723
331,2023-05-08T00:00:00,735.6,741.0,730.05,732.8,1132367,JSWSTEEL,11723
332,2023-05-09T00:00:00,733.6,740.5,722.5,724.6,1179219,JSWSTEEL,11723
333,2023-05-10T00:00:00,725.0,729.6,719.4,724.35,919645,JSWSTEEL,11723
334,2023-05-11T00:00:00,727.5,729.4,708.5,710.6,1284636,JSWSTEEL,11723
335,2023-05-12T00:00:00,699.9,708.9,691.15,702.65,1499306,JSWSTEEL,11723
336,2023-05-15T00:00:00,701.9,710.5,697.0,705.55,998259,JSWSTEEL,11723
337,2023-05-16T00:00:00,710.45,711.05,700.55,702.75,874913,JSWSTEEL,11723
338,2023-05-17T00:00:00,701.35,701.35,691.8,695.1,1686465,JSWSTEEL,11723
339,2023-05-18T00:00:00,700.8,709.5,689.25,692.05,3667407,JSWSTEEL,11723
340,2023-05-19T00:00:00,696.0,696.6,681.05,693.85,2329260,JSWSTEEL,11723
341,2023-05-22T00:00:00,692.0,707.8,687.45,704.6,2182824,JSWSTEEL,11723
342,2023-05-23T00:00:00,710.0,711.9,702.5,704.1,2324758,JSWSTEEL,11723
343,2023-05-24T00:00:00,700.0,706.55,694.5,696.0,1185182,JSWSTEEL,11723
344,2023-05-25T00:00:00,693.0,702.65,690.0,696.65,1213068,JSWSTEEL,11723
345,2023-05-26T00:00:00,696.65,705.45,694.15,701.7,1461749,JSWSTEEL,11723
346,2023-05-29T00:00:00,703.25,708.95,701.1,702.2,1467219,JSWSTEEL,11723
347,2023-05-30T00:00:00,701.1,717.9,697.9,704.6,3317461,JSWSTEEL,11723
348,2023-05-31T00:00:00,701.15,704.95,691.0,696.3,14943096,JSWSTEEL,11723
349,2023-06-01T00:00:00,698.9,701.9,691.15,693.85,1995511,JSWSTEEL,11723
350,2023-06-02T00:00:00,698.0,709.05,695.75,706.6,3405152,JSWSTEEL,11723
351,2023-06-05T00:00:00,708.95,714.0,703.0,712.15,2454283,JSWSTEEL,11723
352,2023-06-06T00:00:00,714.0,717.5,708.8,712.85,2436996,JSWSTEEL,11723
353,2023-06-07T00:00:00,715.25,732.2,714.0,729.75,3667486,JSWSTEEL,11723
354,2023-06-08T00:00:00,729.75,764.45,727.85,748.8,9618332,JSWSTEEL,11723
355,2023-06-09T00:00:00,751.5,756.95,741.5,748.5,2408734,JSWSTEEL,11723
356,2023-06-12T00:00:00,754.6,757.95,744.65,747.3,1703619,JSWSTEEL,11723
357,2023-06-13T00:00:00,755.0,762.6,751.15,756.65,3419413,JSWSTEEL,11723
